System Name,Current Advisory,Advisory Start Date,Reason(s) for Advisory,Population served,Phone Number,Website
Sundowner Meats Water System,No Water Advisory,N/A,,0,(250) 547-1463,N/A
Sunny Acres Mobile Home Park Water System,No Water Advisory,N/A,,45,(925) 381-9762,N/A
Sunnyside Mobile Home Park Water System,Boil Water Notice,5/11/2018,Inadequate operations and maintenance; Excessive turbidity compromising treatment and water quality,160,(778) 671-0930,N/A
Sunoka Provincial Park Water System,Boil Water Notice,6/7/2018,Unacceptable water quality results (microbiological),1447,(250) 260-3590,N/A
Sunset Ranch Water System,No Water Advisory,N/A,,1305,(250) 469-6241,http://www.regionaldistrict.com/water
Sunshine Bay Regional Park Water System,No Water Advisory,N/A,,100,(250) 352-6665,www.rdck.ca
Sunshine Bay Riding Club Water System,No Water Advisory,N/A,,100,(250) 352-6665,www.rdck.ca
Sunshine Estates Water Users,No Water Advisory,N/A,,100,(250) 229-4137,N/A
Swansea Point Volunteer Fire Department,No Water Advisory,N/A,,25,(250) 362-2402,N/A
Swick Road Water System,No Water Advisory,N/A,,300,(250) 469-8502,www.kelowna.ca
T & C Meats,No Water Advisory,N/A,,50,(250) 314-1007,N/A
Taghill Water Users Community,Boil Water Notice,1/1/1992,positive E. Coli lab result; positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination,70,(250) 354-3899,N/A
Taghum Hall Society Water System,No Water Advisory,N/A,,200,(778) 463-1114,N/A
Taghum Improvement District Water System,Boil Water Notice,9/8/2015,Untreated drinking water at risk of containing pathogens,120,(250) 551-5139,N/A
Taghum Spring Water Users Community,Boil Water Notice,6/1/1992,Untreated drinking water at risk of containing pathogens,60,(250) 354-8409,N/A
Tarrys & District Community Hall WS,No Water Advisory,N/A,,50,(250) 399-4240,N/A
Terravista Vineyards Water System,No Water Advisory,N/A,,null,(604) 805-2708,N/A
The Cottages At Secret Point Water System,No Water Advisory,N/A,,60,(250) 861-7111,N/A
The Country Kettle WS,No Water Advisory,N/A,,50,(250) 804-6118,N/A
The Lodge at Heartland Water System,No Water Advisory,N/A,,40,(250) 491-5677,N/A
The Oaks Wellness Center - Water System,No Water Advisory,N/A,,0,(250) 833-0437,N/A
The Rock & River Retreat Campground Water System,Boil Water Notice,8/23/2019,Inadequate operations and maintenance; Untreated drinking water at risk of containing pathogens,42,(250) 373-2249,N/A
The Shark Shack WS,No Water Advisory,N/A,,null,(250) 306-2666,N/A
The Valley Kitchen Water System,No Water Advisory,N/A,,50,(250) 226-7709,N/A
The Whole School Water System,No Water Advisory,N/A,,60,(250) 226-7737,N/A
The Wild Moon Organics Co Water System,No Water Advisory,N/A,,50,(778) 212-6494,N/A
Thompson River Estates,Water Quality Advisory,6/12/2023,Excessive turbidity compromising treatment and water quality,159,(250) 373-2282,N/A
Thrums Market Bakery & Deli Water System,No Water Advisory,N/A,,50,(250) 399-6318,N/A
Tillistar Village Water System,No Water Advisory,N/A,,66,(250) 558-3548,N/A
Timberland Consultants Water System,No Water Advisory,N/A,,20,(250) 354-3880,contact@timberland2001.ca
Tobiano Utilities Water System,No Water Advisory,N/A,,0,(604) 854-3343 x 1016,N/A
Tolko White Valley Water System,No Water Advisory,N/A,,80,(250) 547-1289,N/A
Totem Pole Resort and Marina Water System,No Water Advisory,N/A,,120,(250) 835-4567,N/A
Traders Cove Waterworks District,No Water Advisory,N/A,,285,(778) 214-0408,N/A
Trans Mountain Pipeline/Merritt Camp Water System,No Water Advisory,N/A,,400,(780) 915-3137,N/A
Trepanier Ditch Water Users Community,Boil Water Notice,8/5/1993,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,20,(250) 767-9321,N/A
Triple A Custom Meat WS,Water Quality Advisory,12/3/2019,Chemical and physical water quality parameters in excess of acceptable concentrations,50,(778) 538-0409,N/A
Triple Island Farm Water System,No Water Advisory,N/A,,50,(250) 547-6125,N/A
Trout Lake Water Improvement District,Boil Water Notice,7/14/2011,Untreated drinking water at risk of containing pathogens,100,(250) 369-2200,N/A
Troute's Meat Cutting Water System,No Water Advisory,N/A,,50,(250) 269-7357,N/A
Tukaluk Campground #211373,Water Quality Advisory,8/27/2014,Untreated drinking water at risk of containing pathogens,200,(780) 618-7725,N/A
Tunkwa #96 Water System,No Water Advisory,N/A,,825,(250) 371-6200,N/A
Tunkwa Boat Launch Water System,No Water Advisory,N/A,,825,(250) 371-6200,N/A
Tunkwa Campground Water System,Boil Water Notice,8/9/2022,Unacceptable water quality results (microbiological),825,(250) 371-6200,N/A
Tunkwa Lake Resort Water System,Water Quality Advisory,11/3/2021,Chemical and physical water quality parameters in excess of acceptable concentrations,200,(250) 523-9697,N/A
Tunkwa Leighton Campground Water System,No Water Advisory,N/A,,825,(250) 371-6200,N/A
Tunkwa North Leighton Water System,No Water Advisory,N/A,,825,(250) 371-6200,N/A
Tuzzins Beach,Boil Water Notice,5/11/2023,Inadequate operations and maintenance,30,(250) 838-6853,N/A
Upper Bain Road Water System,No Water Advisory,N/A,,30,(250) 359-7255,N/A
Upper Fintry / Shalal Road / Valley of the Sun Water System,No Water Advisory,N/A,,285,(250) 469-6241,http://www.regionaldistrict.com/water
Upper Pass Creek Water Users,Boil Water Notice,4/1/1992,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; positive Total Coliform lab result,150,(250) 304-3460,N/A
Valhalla Lakeside Resort Water System,No Water Advisory,N/A,,60,(250) 365-6926,N/A
Valley Mobile Park Water System,No Water Advisory,N/A,,180,(250) 832-4325,N/A
Valley View Golf Club Water System,No Water Advisory,N/A,,300,(250) 226-7241,N/A
Valleyview Mobile Home Park,No Water Advisory,N/A,,283,(250) 547-2188,N/A
Vallican Heritage Hall Water System,No Water Advisory,N/A,,50,(250) 226-7448,N/A
Vallican Whole Community Centre Water System,No Water Advisory,N/A,,50,(250) 226-0097,N/A
Veg Pro International Chinook Facility,No Water Advisory,N/A,,null,(250) 515-9707,N/A
Village of Lumby Water System,No Water Advisory,N/A,,1731,(250) 547-2171,https://www.lumby.ca/
Village of Nakusp,No Water Advisory,N/A,,1800,(250) 265-3689,http://nakusp.com/
Village of New Denver,No Water Advisory,N/A,,600,(250) 358-2316,https://newdenver.ca/
Village of Silverton,No Water Advisory,N/A,,300,(250) 358-2472,N/A
Village of Slocan Water System,No Water Advisory,N/A,,500,(250) 355-2277,http://www.slocancity.com/
Vipassana Meditation Centre Water System,No Water Advisory,N/A,,0,(250) 378-4506,http://www.surabhi.dhamma.org/directions.shtml
VisionQuest Recovery Society WS,No Water Advisory,N/A,,50,(250) 523-9411,N/A
Viva Cacao,No Water Advisory,N/A,,1,(250) 355-2660,N/A
Voigter's Meat Shop WS,No Water Advisory,N/A,,null,(250) 378-7546,N/A
Vossloh Tie Water System,No Water Advisory,N/A,,20,(250) 375-2186,N/A
Voyage Cannabis Corp,No Water Advisory,N/A,,21,(587) 890-9019,N/A
Voykin Improvement District Water System,No Water Advisory,N/A,,200,(250) 359-7584,N/A
Walhachin Community Water System,Boil Water Notice,7/13/2022,Water treatment equipment failure; Excessive turbidity compromising treatment and water quality,68,(250) 377-8673,N/A
Waterside Vineyard & Winery WS,No Water Advisory,N/A,,null,(250) 838-9757,N/A
Watson Water Works,Do Not Consume,8/30/2021,Distribution system integrity failure,110,(250) 542-3501,N/A
Wayne's Custom Meats Water System,Boil Water Notice,10/19/2021,Insufficient treatment or disinfection residual; Source water quality deterioration or contamination,2,(250) 378-6910,N/A
Werner's Well,Boil Water Notice,1/12/2022,Inadequate operations and maintenance,80,(778) 206-7507,N/A
Westmount Acres MHP Water System,No Water Advisory,N/A,,70,(250) 832-2243,N/A
Westridge Quarry Domestic Water System,No Water Advisory,N/A,,18,(250) 550-7482,N/A
Westshore Water Utilities,No Water Advisory,N/A,,630,(250) 469-6241,www.regionaldistrict.com/water
Westwold Community Hall Water System,No Water Advisory,N/A,,50,(250) 375-2516,N/A
Westwold Elementary Water System,No Water Advisory,N/A,,20,(250) 851-4420,N/A
Westwold General Store Water System,No Water Advisory,N/A,,null,(604) 868-3845,N/A
Whatshan Lake Campground,Boil Water Notice,4/1/1999,Inadequate operations and maintenance; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; positive Total Coliform lab result,200,(250) 265-4457,N/A
Whatshan Lake Retreat Water System,No Water Advisory,N/A,,200,(250) 304-9669,N/A
Whispering Pines RV & Tent - Water System,Boil Water Notice,6/11/2021,Unacceptable water quality results (microbiological),225,(250) 838-6775,N/A
White Drop Cheese Well,No Water Advisory,N/A,,7,(250) 547-6305,https://www.whitedropcheese.com/
Whitehead Waterworks District,Boil Water Notice,4/1/1992,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; positive E. Coli lab result; Source water quality deterioration or contamination,100,(250) 825-9390,N/A
Whitevale Utilities,No Water Advisory,N/A,,320,(250) 550-3700,N/A
Whitewater Resort Backcountry Adventure Well,No Water Advisory,N/A,,null,(250) 505-0167,N/A
Whitewater Ski Resort Glory Chair Water System,No Water Advisory,N/A,,50,(250) 352-4636,N/A
Whitewater Ski Resort Water System,No Water Advisory,N/A,,50,(250) 354-4944,N/A
Whitewood Neighbourhood Society Water System,Boil Water Notice,10/12/1999,Routine maintenance and planned works; positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,38,(250) 545-4593,N/A
Wildernest Retreat at Naramata,No Water Advisory,N/A,,null,(250) 486-2926,N/A
Willow Shores Resort Water System,Boil Water Notice,6/4/2021,Unacceptable water quality results (microbiological),110,(250) 838-6216,N/A
Wilson Creek Resort Water System,No Water Advisory,N/A,,30,(250) 304-4317,N/A
Wilson Landing Utilities,No Water Advisory,N/A,,30,(250) 769-1126,N/A
Winlaw Elementary School WS (0211298),No Water Advisory,N/A,,200,(250) 551-5854,N/A
Woodland Heights Water Service,No Water Advisory,N/A,,120,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/woodland-heights-water-system.html
Woodsdale General Store Water System,No Water Advisory,N/A,,50,(250) 766-4677,N/A
Yankee Flats Association Water System,Boil Water Notice,12/12/2012,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,7,(250) 832-0535,N/A
Yellowhead Road & Bridge - Winlaw,Boil Water Notice,9/9/2019,Unacceptable water quality results (microbiological),20,(250) 226-7274,N/A
Ymir Water Specified Area,No Water Advisory,N/A,,300,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/ymir-water-system.html
